,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09894545376300812,0.6061634088865109,0.4103342931385631,0.958574299659571,0.5746708140206794,,29875,33585,1010,23371,0.6173199303286621,0.4203086164043082,0.9987695336532546,0.5916396370130107,29875,33585,30,24351
Q91.000,0.0989595040678978,0.6182078983618128,0.4169599129330673,0.9428243304212296,0.5782093043729798,,31317,32143,1394,22987,0.6332919707198233,0.4306438756531751,0.9971699274024856,0.6015141768518977,31317,32143,69,24312
Q92.000,0.09897546917200088,0.6293758040095172,0.4229660202408549,0.9205118740002461,0.5796079646703339,,32842,30618,1938,22443,0.6506187315718173,0.44256922824840245,0.997046880767811,0.6130276895142988,32842,30618,72,24309
Q93.000,0.09899322390556335,0.6400769572295397,0.4286812688523944,0.8918420081210778,0.5790370685982105,,34481,28979,2637,21744,0.6688220762514088,0.45577298677884615,0.9954062589721504,0.6252560254544048,34481,28979,112,24269
Q94.000,0.09901607632637024,0.6510057945606266,0.4342312126611466,0.8496370124277101,0.5747301833920595,,36470,26990,3666,20715,0.6902016142803474,0.4723156330648315,0.9908535334891924,0.6397013067828251,36470,26990,223,24158
Q95.000,0.09904900193214417,0.6605116061975616,0.4376003670566644,0.7823715188056274,0.5612687763899311,,38945,24515,5306,19075,0.7183775230245557,0.4963326690362213,0.9908535334891924,0.6613737783009829,38945,24515,223,24158
Q96.000,0.09909477084875107,0.669414054940176,0.439534762967963,0.6943931750133301,0.538323343773351,,41872,21588,7451,16930,0.7507428194123473,0.5272217598878718,0.9874082277183053,0.6874063075539312,41872,21588,307,24074
Q97.000,0.09914120435714721,0.6810714814266686,0.4475794818533264,0.6363151634469464,0.5255153024067205,,44312,19148,8867,15514,0.7784747441399802,0.5569438659817668,0.9872441655387392,0.7121407121407122,44312,19148,311,24070
Q98.000,0.09920617491006851,0.6951309752848898,0.4615211882077439,0.5900906443542102,0.5179465025020701,,46674,16786,9994,14387,0.8009813185186871,0.5852338711670084,0.9714531807555064,0.7304323690865354,46674,16786,696,23685
Q99.000,0.0993331104516983,0.7146321193975479,0.48763072484673636,0.5546121980230507,0.5189691236015428,,49252,14208,10859,13522,0.8215070411311347,0.617220755428633,0.939666133464583,0.7450527650856112,49252,14208,1471,22910
Q100.000,0.11053608357906342,0.7224872212292666,1.0,0.00016406217956605552,0.0003280705351650605,,63460,0,24377,4,0.7265513826117644,1.0,0.014806611705836512,0.029181149462452507,63460,0,24020,361
Q_off_f1_best,0.09897800534963608,0.6314932662424153,0.42422460400265577,0.9172306304089249,0.5801338590847774,0.7703837052698693,33108,30352,2018,22363,0.6536469302489726,0.44472292859625695,0.997046880767811,0.6150907112674274,33108,30352,72,24309
