,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q91.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q92.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q93.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q94.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q95.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q96.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q97.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q98.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q99.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q100.000,0.09862407296895981,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,,1,7502,0,160,0.021010048283961896,0.020882276168102322,1.0,0.04091025313219126,1,7502,0,160
Q_off_f1_best,0.1077231764793396,0.9825133759624168,0.90625,0.18125,0.3020833333333333,0.6577127482340398,7500,3,131,29,0.999608508417069,0.9815950920245399,1.0,0.9907120743034055,7500,3,0,160
