,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09916137903928757,0.8862338267863388,0.06847826086956521,0.34615384615384615,0.11433756805807621,,7540,857,119,63,0.9001049073318569,0.1751684311838306,1.0,0.2981162981162981,7540,857,0,182
Q91.000,0.09924103319644928,0.9032521272875627,0.07368421052631578,0.3076923076923077,0.11889596602972398,,7693,704,126,56,0.917939153747523,0.2054176072234763,1.0,0.3408239700374532,7693,704,0,182
Q92.000,0.09931842982769012,0.9112950227299219,0.07860262008733625,0.2967032967032967,0.1242807825086306,,7764,633,128,54,0.9262151765940086,0.2233128834355828,1.0,0.36509528585757267,7764,633,0,182
Q93.000,0.09942877106368542,0.9266814314022613,0.08990825688073395,0.2692307692307692,0.1348005502063274,,7901,496,133,49,0.9421844037766639,0.26843657817109146,1.0,0.42325581395348844,7901,496,0,182
Q94.000,0.09952259436249733,0.9322764891012939,0.09368635437881874,0.25274725274725274,0.13670133729569092,,7952,445,136,46,0.948129152581886,0.2902711323763955,1.0,0.44993819530284296,7952,445,0,182
Q95.000,0.09966519847512245,0.9519757547499709,0.1360759493670886,0.23626373626373626,0.17269076305220885,,8124,273,139,43,0.9681781093367525,0.4,1.0,0.5714285714285715,8124,273,0,182
Q96.000,0.09986470639705658,0.9651474530831099,0.2,0.21428571428571427,0.20689655172413796,,8241,156,143,39,0.9818160624781443,0.5384615384615384,1.0,0.7000000000000001,8241,156,0,182
Q97.000,0.1019617393612862,0.9720247115048374,0.19148936170212766,0.0989010989010989,0.13043478260869565,,8321,76,164,18,0.9911411586431985,0.7054263565891473,1.0,0.8272727272727274,8321,76,0,182
Q98.000,0.1142625026404858,0.9717915841007111,0.0,0.0,0.0,,8337,60,182,0,0.9717915841007111,0.0,0.0,0.0,8337,60,182,0
Q99.000,0.11772101186215878,0.9757547499708591,0.0,0.0,0.0,,8371,26,182,0,0.9757547499708591,0.0,0.0,0.0,8371,26,182,0
Q100.000,0.12393748760223389,0.9785522788203753,0.0,0.0,0.0,,8395,2,182,0,0.9785522788203753,0.0,0.0,0.0,8395,2,182,0
Q_off_f1_best,0.09992551803588867,0.9672455997202472,0.22033898305084745,0.21428571428571427,0.2172701949860724,0.611354853316268,8259,138,143,39,0.9839142091152815,0.56875,1.0,0.7250996015936254,8259,138,0,182
