,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09894128516316414,0.16733454254017802,0.03491784037558685,0.9916666666666667,0.06746031746031747,3253,19734,6,714,0.16758763234487703,0.03520093869169844,1.0,0.06800793425899687,3253,19734,0,720
Q91.000,0.09895103797316551,0.1807904838233433,0.03542505092661599,0.9902777777777778,0.0684031275483283,3573,19414,7,713,0.18108575526215887,0.035760405284593226,1.0,0.0690515009110962,3573,19414,0,720
Q92.000,0.09896026849746704,0.19310752098536296,0.035712484237074404,0.9833333333333333,0.0689218788026284,3870,19117,12,708,0.19361370059476105,0.03629581085849675,1.0,0.07004913168263852,3870,19117,0,720
Q93.000,0.09897203221917153,0.20626819082971273,0.03618842585473371,0.9805555555555555,0.0698007810568985,4184,18803,14,706,0.2068587337073438,0.0368795779337192,1.0,0.07113570123005483,4184,18803,0,720
Q94.000,0.09898772612214088,0.22626228540093643,0.03689493877121985,0.975,0.07109940750493747,4662,18325,18,702,0.22702155481503353,0.03780519821475453,1.0,0.07285605868960285,4662,18325,0,720
Q95.000,0.09901147335767746,0.24937782089678154,0.03778896648800823,0.9694444444444444,0.07274243134802771,5214,17773,22,698,0.25030581684734465,0.03893365057048613,1.0,0.07494925310987353,5214,17773,0,720
Q96.000,0.09904056787490845,0.27008900324798585,0.038461538461538464,0.9597222222222223,0.07395911377501874,5712,17275,29,691,0.2713122706373645,0.04001111419838844,1.0,0.07694362810579748,5712,17275,0,720
Q97.000,0.0990900419652462,0.29577761842493777,0.039598824139719865,0.9541666666666667,0.07604183961480988,6325,16662,33,687,0.2971696123507825,0.04142216085605799,1.0,0.07954922108054358,6325,16662,0,720
Q98.000,0.09918044582009315,0.3294385624499093,0.04095336035327567,0.9402777777777778,0.07848820358240102,7133,15854,43,677,0.33125237271691904,0.04344153493423434,1.0,0.08326587255695617,7133,15854,0,720
Q99.000,0.09974107667803764,0.8924368330029105,0.1562734785875282,0.5777777777777777,0.24600827912477827,20741,2246,304,416,0.9052600497743283,0.24275118004045854,1.0,0.39066739012479657,20741,2246,0,720
Q100.000,0.13005313277244568,0.9703463112160965,0.8695652173913043,0.027777777777777776,0.05383580080753701,22984,3,700,20,0.9714430337031257,0.9387755102040817,0.06388888888888888,0.11963589076723018,22984,3,674,46
Qbest,0.09995941817760468,0.9300206690007171,0.19690122659780504,0.4236111111111111,0.26884089907448216,21743,1244,415,305,0.947526047159067,0.3665987780040733,1.0,0.5365126676602087,21743,1244,0,720
