,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09898131340742111,0.19251697810773188,0.03564046982910722,0.9819444444444444,0.0687843556939242,,3857,19130,13,707,0.19306533935124648,0.036272040302267,1.0,0.07000486144871172,3857,19130,0,720
Q91.000,0.09899235554039479,0.20403256422153795,0.035948046635303745,0.9763888888888889,0.06934306569343066,,4134,18853,17,703,0.20474965200151854,0.03678536759822204,1.0,0.07096042970482432,4134,18853,0,720
Q92.000,0.09900453984737397,0.21592778504239254,0.03642590286425903,0.975,0.0702280912364946,,4417,18570,18,702,0.21668705445648964,0.03732503888024884,1.0,0.0719640179910045,4417,18570,0,720
Q93.000,0.0990158498287201,0.22550301598683933,0.036762775064334854,0.9722222222222222,0.07084661707403472,,4646,18341,20,700,0.22634664866916945,0.03777346414144064,1.0,0.07279712855770688,4646,18341,0,720
Q94.000,0.09903227910399437,0.23845277766060657,0.03716757449535405,0.9666666666666667,0.07158284480098735,,4957,18030,24,696,0.2394651368794027,0.0384,1.0,0.07395993836671802,4957,18030,0,720
Q95.000,0.09905062057077885,0.2514869026026068,0.03764054098093531,0.9625,0.07244785949506037,,5269,17718,27,693,0.25262580672375246,0.039049788480312396,1.0,0.07516442217350452,5269,17718,0,720
Q96.000,0.0990755245089531,0.26426793773990803,0.03806629834254144,0.9569444444444445,0.0732199787460149,,5576,17411,31,689,0.2655755683975197,0.039710992223264026,1.0,0.07638852050289109,5576,17411,0,720
Q97.000,0.09911151751875877,0.28143586282532584,0.038733389878428046,0.9513888888888888,0.07443629448519425,,5987,17000,35,685,0.2829122200194035,0.040632054176072234,1.0,0.07809110629067245,5987,17000,0,720
Q98.000,0.09919074922800064,0.30223140844476315,0.03962988826815642,0.9458333333333333,0.07607238605898123,,6484,16503,39,681,0.3038764921753069,0.04180456366486675,1.0,0.080254138103996,6484,16503,0,720
Q99.000,0.09963817857205869,0.6010461045260893,0.059310066572523704,0.8166666666666667,0.11058867782584164,,13661,9326,132,588,0.6066140802294681,0.07167031654389806,1.0,0.13375441203789706,13661,9326,0,720
Q100.000,0.1300654411315918,0.970557219386679,1.0,0.030555555555555555,0.05929919137466308,,22987,0,698,22,0.9715695786054752,1.0,0.06388888888888888,0.12010443864229764,22987,0,674,46
Q_off_f1_best,0.10104785859584808,0.9274475893196102,0.20691676436107856,0.49027777777777776,0.29101401483924155,0.8115029086488499,21634,1353,367,353,0.9398068081157464,0.3231615807903952,0.8972222222222223,0.47517469657962486,21634,1353,74,646
