,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09887410774827003,0.34181263738584056,0.14537729505621474,0.9070606771215008,0.2505915430225761,104277,291058,5073,49511,0.3484982852469,0.1528594754596495,0.962168400996629,0.2638078566208142,104277,291058,2065,52519
Q91.000,0.09892972625792026,0.3459800541875315,0.14613403888403298,0.9066393082221896,0.2516987427269398,106175,289160,5096,49488,0.3527168223613584,0.15370859783598056,0.962168400996629,0.26507142983321685,106175,289160,2065,52519
Q92.000,0.09895341098308563,0.3477981592242159,0.14646694887658743,0.9064561043529239,0.2521853035469451,107003,288332,5106,49478,0.3545571536209851,0.15408198890424263,0.962168400996629,0.2656264619975471,107003,288332,2065,52519
Q93.000,0.0989774475991726,0.3500963506764551,0.14690196637387828,0.9063278616444379,0.2528248659753773,108044,287291,5113,49471,0.35687090342928396,0.1545540154792384,0.962168400996629,0.2663275810483932,108044,287291,2065,52519
Q94.000,0.09902554750442505,0.3539637134684243,0.1475870881450255,0.9056500073281548,0.2538122670281261,109821,285514,5150,49434,0.36082050324613985,0.15536648788727728,0.962168400996629,0.2675329901659887,109821,285514,2065,52519
Q95.000,0.09908550977706909,0.3602870738955234,0.14878372721276717,0.9050637549465045,0.2555564464607641,112698,282637,5182,49402,0.3672149875866545,0.15670016350594948,0.962168400996629,0.269507877046236,112698,282637,2065,52519
Q96.000,0.09920534104108811,0.37343166214363027,0.15121228208535226,0.9027553861937564,0.2590358437352973,118738,276597,5308,49276,0.380639626243835,0.1595759549824378,0.962168400996629,0.27375032577534536,118738,276597,2065,52519
Q97.000,0.09946932166814804,0.4075244655149038,0.15850994593688986,0.9013263960134839,0.2696061507773412,134155,261180,5386,49198,0.41429235040084994,0.1666852783618305,0.9571119742048952,0.2839239470988324,134155,261180,2341,52243
Q98.000,0.10094457909464837,0.503212800526317,0.17922084827125234,0.8645573794518541,0.2968958401489795,179214,216121,7393,47191,0.5095895038884777,0.18806751796709759,0.9171185695441888,0.3121288170467476,179214,216121,4524,50060
Q99.000,0.10317465662956238,0.6879460525116743,0.23980473606015584,0.7244797010112853,0.36033696449480385,269975,125360,15039,39545,0.7088898223902524,0.2808957826625671,0.8971127070203723,0.4278325295309989,269975,125360,5616,48968
Q100.000,0.12063463777303696,0.8786959430475263,1.0,0.00012824270848600322,0.00025645252880511434,395335,0,54577,7,0.9611041098508842,1.0,0.679393228784992,0.8090936859100232,395335,0,17500,37084
Qbest,0.10952012240886688,0.9539539339303297,0.9866088105980056,0.6289938443499927,0.7682221451506439,394869,466,20251,34333,0.9677386373991763,0.9886344235506451,0.7426168840685915,0.8481456295443845,394869,466,14049,40535
