,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0988787092268467,0.33869652092932284,0.1448062106171143,0.9072805217646197,0.24975099538805637,,102863,292472,5061,49523,0.3453554973228514,0.15223295680177165,0.962168400996629,0.2628743039479447,102863,292472,2065,52519
Q91.000,0.09894631870090961,0.3453243806107322,0.14600058417936077,0.9065843470614099,0.25149864937322275,,105883,289452,5099,49485,0.3520678166514417,0.1535773501261803,0.962168400996629,0.264876246674484,105883,289452,2065,52519
Q92.000,0.09897080063819885,0.346664621854156,0.146241974958323,0.9064194635790708,0.25185034359888014,,106495,288840,5108,49476,0.35342806149551365,0.15385268881148587,0.962168400996629,0.2652856598045678,106495,288840,2065,52519
Q93.000,0.09899477660655975,0.3484671685347807,0.1465766291642098,0.9062729004836582,0.252340763072183,,107314,288021,5116,49468,0.35524838915449225,0.15422270511540495,0.962168400996629,0.26583553517376823,107314,288021,2065,52519
Q94.000,0.09904028475284576,0.35211449171962067,0.14727811954715722,0.9061446577751722,0.25337458826181164,,108962,286373,5123,49461,0.35891127069539186,0.15497267566068246,0.962168400996629,0.2669489371651638,108962,286373,2065,52519
Q95.000,0.09909493178129197,0.3559462925548821,0.14789896340477515,0.9049355122380185,0.2542451397717738,,110752,284583,5189,49395,0.36288976460207284,0.15579557522648932,0.962168400996629,0.26816889038668734,110752,284583,2065,52519
Q96.000,0.09922476410865784,0.37113347069139113,0.1508386721915567,0.9036530851531585,0.2585242237066582,,117655,277680,5259,49325,0.3782325262991783,0.15905257132819905,0.962168400996629,0.272979835387738,117655,277680,2065,52519
Q97.000,0.09947280764579773,0.4043905680800322,0.15781067593744788,0.9014729591088964,0.26860050001637614,,132737,262598,5378,49206,0.41114067198762444,0.16593455109086808,0.9571119742048952,0.2828341341273601,132737,262598,2341,52243
Q98.000,0.10116525784134865,0.5257613037013329,0.18574227640667365,0.8596841565293859,0.3054824083145899,,189625,205710,7659,46925,0.5327292245937603,0.1957227196309184,0.9171185695441888,0.3225993542857511,189625,205710,4524,50060
Q99.000,0.10305349536240101,0.8270333104403237,0.38509163196882634,0.7133409057599297,0.5001702045666206,,333161,62174,15647,38937,0.8490594973761943,0.4399798236369696,0.894895940202257,0.5899218018779626,333161,62174,5737,48847
Q100.000,0.11895939707756042,0.8788826433202421,0.9595959595959596,0.0017404367580243294,0.0034745716218934587,,395331,4,54489,95,0.8823454888546605,0.9975859987929994,0.030283599589623334,0.058782738571504775,395331,4,52931,1653
Q_off_f1_best,0.10771532356739044,0.954467359680298,0.9905904696132597,0.6306793199472372,0.7706859496731442,0.8387968293970552,395008,327,20159,34425,0.9659916562759074,0.9918121040639006,0.7256705261615125,0.8381206292781498,395008,327,14974,39610
