,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09897118806838989,0.39348275203555494,0.06249480978436384,0.6788613811767065,0.11445325041823683,61222,101604,3204,6773,0.4120240968038749,0.08941486453786936,1.0,0.1641520920054624,61222,101604,0,9977
Q91.000,0.09899352490901947,0.4011851646094107,0.06274902261546232,0.6724466272426581,0.11478677445570812,62617,100209,3268,6709,0.4200968733181716,0.09054689343473762,1.0,0.16605777152700915,62617,100209,0,9977
Q92.000,0.09901903569698334,0.410982448221385,0.06355952346996016,0.67004109451739,0.1161053893047571,64334,98492,3292,6685,0.43003304340781123,0.09198019710700753,1.0,0.168464954494031,64334,98492,0,9977
Q93.000,0.09906252548098564,0.4198596089188266,0.06387748200396154,0.6626240352811467,0.11652213761985336,65942,96884,3366,6611,0.43933843741138756,0.0933642769579173,1.0,0.1707834779780551,65942,96884,0,9977
Q94.000,0.09913342446088791,0.42709906656713137,0.06335223371068689,0.6472887641575624,0.11540901577089757,67346,95480,3519,6458,0.44746329635480864,0.09460728069260457,1.0,0.17286068229464457,67346,95480,0,9977
Q95.000,0.09922146797180176,0.43075062354241533,0.06283198971264652,0.6366643279542948,0.11437626044367617,68083,94743,3625,6352,0.4517282686064478,0.09527310924369747,1.0,0.17397142035101182,68083,94743,0,9977
Q96.000,0.0995619460940361,0.4379206379518874,0.0616184785014386,0.6139119975944672,0.11199590414979109,69549,93277,3852,6125,0.460211917617171,0.09662579657930928,1.0,0.17622382563079014,69549,93277,0,9977
Q97.000,0.10000651925802231,0.44036851212073863,0.060727924715606924,0.6008820286659317,0.11030764701552954,70102,92724,3982,5995,0.4634120935400427,0.09714608426402858,1.0,0.17708869522000745,70102,92724,0,9977
Q98.000,0.10062078982591631,0.4447781577866125,0.05961784744633984,0.5832414553472988,0.10817794798386349,71040,91786,4158,5819,0.4528509343009091,0.07286868686868687,0.723063045003508,0.13239490901749912,71040,91786,2763,7214
Q99.000,0.10136353671550752,0.44633484372377796,0.05653874813710879,0.547559386589155,0.10249434808303862,71665,91161,4514,5463,0.45646776965677677,0.07333163913595935,0.723063045003508,0.13315859421145898,71665,91161,2763,7214
Q100.000,0.12193150818347931,0.9422579469106439,0.0,0.0,0.0,162825,1,9977,0,0.9422579469106439,0.0,0.0,0.0,162825,1,9977,0
Qbest,0.12034069001674652,0.9490286626968282,0.808769149498151,0.15345294176606195,0.25796124684077504,162464,362,8446,1531,0.9578479540285759,0.894059116183787,0.30620426982058735,0.45617440645064955,162464,362,6922,3055
