,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09897302091121674,0.39495842086074895,0.062399363328459585,0.6758544652701213,0.11425037487610026,,61507,101319,3234,6743,0.4136733737261506,0.08964383266244969,1.0,0.16453786085938335,61507,101319,0,9977
Q91.000,0.09899119585752487,0.4012893294676597,0.06208776795083196,0.6642277237646587,0.11356061449881333,,62717,100109,3350,6627,0.4206755669751104,0.0906291444870374,1.0,0.16619608039112801,62717,100109,0,9977
Q92.000,0.09901697039604188,0.41180998015080755,0.06209512526036193,0.6513982158965621,0.11338200786817751,,64663,98163,3478,6499,0.43193694553913997,0.0922600332901794,1.0,0.16893419236858367,64663,98163,0,9977
Q93.000,0.0990648128092289,0.4205771890534308,0.062243242980760824,0.6423774681768066,0.11348987108655617,,66268,96558,3568,6409,0.4412249787330081,0.09364997418688693,1.0,0.17126132930513593,66268,96558,0,9977
Q94.000,0.09913994669914246,0.4261152873503353,0.061503215276002436,0.6269419665230029,0.11201747866653533,,67379,95447,3722,6255,0.44765426526159846,0.09463689482470784,1.0,0.17291011343055954,67379,95447,0,9977
Q95.000,0.09922690317034721,0.4297784181987581,0.06127200848137763,0.6198255988774181,0.11151987304335283,,68083,94743,3793,6184,0.4517282686064478,0.09527310924369747,1.0,0.17397142035101182,68083,94743,0,9977
Q96.000,0.09956326186656952,0.4375734217577241,0.06106055725559671,0.6079983963115165,0.11097593326076417,,69548,93278,3911,6066,0.4602061306806016,0.09662486078156021,1.0,0.1762222693231595,69548,93278,0,9977
Q97.000,0.10000790506601334,0.440374299057308,0.06062171965874319,0.5996792623032976,0.1101121734409364,,70115,92711,3994,5983,0.46348732371544477,0.09715838267373013,1.0,0.17710912883326677,70115,92711,0,9977
Q98.000,0.1006888404488564,0.44440200690960224,0.05885550199979489,0.5752230129297384,0.1067850065589327,,71055,91771,4238,5739,0.45293773834944995,0.07287972925190686,0.723063045003508,0.13241313485435288,71055,91771,2763,7214
Q99.000,0.10140799432992935,0.4445698280701145,0.053875442218510414,0.5204971434298887,0.09764398397984318,,71630,91196,4784,5193,0.45626522687684823,0.07330555837821359,0.723063045003508,0.13311559504368606,71630,91196,2763,7214
Q100.000,0.1217881441116333,0.9422579469106439,0.0,0.0,0.0,,162825,1,9977,0,0.9422579469106439,0.0,0.0,0.0,162825,1,9977,0
Q_off_f1_best,0.09880228340625763,0.2665925938785785,0.06964143543773774,0.9468778189836624,0.1297406423171209,0.4935136308454971,36621,126205,530,9447,0.26965967026035426,0.07326225198631243,1.0,0.13652255420466752,36621,126205,0,9977
