,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.10039606541395188,0.049902152641878667,0.03286852589641434,1.0,0.06364513018322082,18,971,0,33,0.049902152641878667,0.03286852589641434,1.0,0.06364513018322082,18,971,0,33
Q91.000,0.10042622223496438,0.049902152641878667,0.03286852589641434,1.0,0.06364513018322082,18,971,0,33,0.049902152641878667,0.03286852589641434,1.0,0.06364513018322082,18,971,0,33
Q92.000,0.10048784852027894,0.050880626223091974,0.03290129611166501,1.0,0.0637065637065637,19,970,0,33,0.050880626223091974,0.03290129611166501,1.0,0.0637065637065637,19,970,0,33
Q93.000,0.10093268290162087,0.15753424657534246,0.03691275167785235,1.0,0.07119741100323625,128,861,0,33,0.15753424657534246,0.03691275167785235,1.0,0.07119741100323625,128,861,0,33
Q94.000,0.10150371640920638,0.16927592954990214,0.03741496598639456,1.0,0.07213114754098361,140,849,0,33,0.16927592954990214,0.03741496598639456,1.0,0.07213114754098361,140,849,0,33
Q95.000,0.10200931020081043,0.16731898238747553,0.03416856492027335,0.9090909090909091,0.06586169045005488,141,848,3,30,0.17025440313111545,0.03745743473325766,1.0,0.07221006564551422,141,848,0,33
Q96.000,0.10301466703414917,0.1643835616438356,0.030857142857142857,0.8181818181818182,0.05947136563876653,141,848,6,27,0.17025440313111545,0.03745743473325766,1.0,0.07221006564551422,141,848,0,33
Q97.000,0.10345994897186757,0.16634050880626222,0.028768699654775604,0.7575757575757576,0.05543237250554324,145,844,8,25,0.17416829745596868,0.037628278221208664,1.0,0.07252747252747252,145,844,0,33
Q98.000,0.10428188920021059,0.16731898238747553,0.02662037037037037,0.696969696969697,0.05128205128205129,148,841,10,23,0.1771037181996086,0.03775743707093822,1.0,0.07276736493936053,148,841,0,33
Q99.000,0.10568426698446275,0.16536203522504891,0.01990632318501171,0.5151515151515151,0.038331454340473504,152,837,16,17,0.18101761252446183,0.03793103448275862,1.0,0.07308970099667775,152,837,0,33
Q100.000,0.10649949312210083,0.16829745596868884,0.01770956316410862,0.45454545454545453,0.034090909090909095,157,832,18,15,0.18590998043052837,0.03815028901734104,1.0,0.07349665924276169,157,832,0,33
Qbest,0.10163076221942902,0.16927592954990214,0.03636363636363636,0.9696969696969697,0.07009857612267249,141,848,1,32,0.17025440313111545,0.03745743473325766,1.0,0.07221006564551422,141,848,0,33
