,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.10028984546661376,0.050880626223091974,0.03290129611166501,1.0,0.0637065637065637,,19,970,0,33,0.050880626223091974,0.03290129611166501,1.0,0.0637065637065637,19,970,0,33
Q91.000,0.10037371203303337,0.050880626223091974,0.03290129611166501,1.0,0.0637065637065637,,19,970,0,33,0.050880626223091974,0.03290129611166501,1.0,0.0637065637065637,19,970,0,33
Q92.000,0.10045250952243805,0.050880626223091974,0.03290129611166501,1.0,0.0637065637065637,,19,970,0,33,0.050880626223091974,0.03290129611166501,1.0,0.0637065637065637,19,970,0,33
Q93.000,0.10073640532791614,0.15655577299412915,0.03687150837988827,1.0,0.07112068965517242,,127,862,0,33,0.15655577299412915,0.03687150837988827,1.0,0.07112068965517242,127,862,0,33
Q94.000,0.10094233930110931,0.162426614481409,0.03712035995500562,1.0,0.07158351409978307,,133,856,0,33,0.162426614481409,0.03712035995500562,1.0,0.07158351409978307,133,856,0,33
Q95.000,0.10129038654267788,0.16731898238747553,0.03733031674208145,1.0,0.07197382769901853,,138,851,0,33,0.16731898238747553,0.03733031674208145,1.0,0.07197382769901853,138,851,0,33
Q96.000,0.10233418703079224,0.16731898238747553,0.03416856492027335,0.9090909090909091,0.06586169045005488,,141,848,3,30,0.17025440313111545,0.03745743473325766,1.0,0.07221006564551422,141,848,0,33
Q97.000,0.10269130721688272,0.16731898238747553,0.03416856492027335,0.9090909090909091,0.06586169045005488,,141,848,3,30,0.17025440313111545,0.03745743473325766,1.0,0.07221006564551422,141,848,0,33
Q98.000,0.10310976296663285,0.16536203522504891,0.0319634703196347,0.8484848484848485,0.06160616061606161,,141,848,5,28,0.17025440313111545,0.03745743473325766,1.0,0.07221006564551422,141,848,0,33
Q99.000,0.1042545398324728,0.162426614481409,0.0286368843069874,0.7575757575757576,0.05518763796909492,,141,848,8,25,0.17025440313111545,0.03745743473325766,1.0,0.07221006564551422,141,848,0,33
Q100.000,0.10509403049945831,0.16046966731898238,0.02640642939150402,0.696969696969697,0.050884955752212385,,141,848,10,23,0.17025440313111545,0.03745743473325766,1.0,0.07221006564551422,141,848,0,33
Q_off_f1_best,0.1017998456954956,0.17025440313111545,0.03745743473325766,1.0,0.07221006564551422,0.1570303643104452,141,848,0,33,0.17025440313111545,0.03745743473325766,1.0,0.07221006564551422,141,848,0,33
