,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.009160679578781129,0.8832265947585742,0.009507294905524995,0.7130044843049327,0.018764383076650733,125616,16565,64,159,0.8832336170332294,0.009566517189835576,0.7174887892376681,0.01888128392730706,125616,16565,63,160
Q91.000,0.00928132014349103,0.8935914721496587,0.010299134085541853,0.7040358744394619,0.020301286610202366,127094,15087,66,157,0.8935984944243139,0.010364053788127254,0.7085201793721974,0.0204292733385053,127094,15087,65,158
Q92.000,0.009421564005315306,0.9049605348164378,0.011307731845216242,0.6905829596412556,0.022251119780378557,128716,13465,69,154,0.904967557091093,0.011380323054331865,0.695067264573991,0.022393989742107923,128716,13465,68,155
Q93.000,0.009577665720134973,0.9166526221173562,0.012801204819277108,0.6860986547085202,0.025133470225872687,130382,11799,70,153,0.9166596443920114,0.012883794863214256,0.6905829596412556,0.025295663600525622,130382,11799,69,154
Q94.000,0.00975858073681593,0.9279865734108592,0.014518002322880372,0.672645739910314,0.028422548555187117,131999,10182,73,150,0.9279935956855144,0.014613374624987904,0.6771300448430493,0.02860932171276999,131999,10182,72,151
Q95.000,0.009970237594097858,0.9389694109716019,0.016776991554439624,0.6591928251121076,0.03272120200333889,133566,8615,76,147,0.9389764332462571,0.016889193198676253,0.6636771300448431,0.03294012908969508,133566,8615,75,148
Q96.000,0.01023644842207432,0.9506404314485548,0.01989277652370203,0.6322869955156951,0.03857201477226097,135234,6947,82,141,0.95064745372321,0.020031033996332347,0.6367713004484304,0.038840262582056896,135234,6947,81,142
Q97.000,0.010580209456384184,0.9620375832139547,0.024233523040205616,0.5919282511210763,0.04656084656084655,136866,5315,91,132,0.9620375832139547,0.024233523040205616,0.5919282511210763,0.04656084656084655,136866,5315,91,132
Q98.000,0.011123441457748415,0.9742633633886688,0.03335140997830802,0.5515695067264574,0.06289951419074405,138616,3565,100,123,0.9742633633886688,0.03335140997830802,0.5515695067264574,0.06289951419074405,138616,3565,100,123
Q99.000,0.012253743112087257,0.987100081458386,0.05997818974918211,0.49327354260089684,0.10695187165775401,140457,1724,113,110,0.987100081458386,0.05997818974918211,0.49327354260089684,0.10695187165775401,140457,1724,113,110
Q100.000,0.15032024681568146,0.9984270104772338,0.0,0.0,0.0,142180,1,223,0,0.9984270104772338,0.0,0.0,0.0,142180,1,223,0
Qbest,0.057558584958314896,0.9985955450689588,0.7254901960784313,0.16591928251121077,0.27007299270072993,142167,14,186,37,0.9985955450689588,0.7254901960784313,0.16591928251121077,0.27007299270072993,142167,14,186,37
