,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.006848546583205462,0.8928260442122412,0.01206930114853027,0.8340807174887892,0.02379429448637585,,126956,15225,37,186,0.8928260442122412,0.01206930114853027,0.8340807174887892,0.02379429448637585,126956,15225,37,186
Q91.000,0.006997019080445171,0.9018496671441814,0.013098272444066836,0.8295964125560538,0.025789363630027186,,128242,13939,38,185,0.9018496671441814,0.013098272444066836,0.8295964125560538,0.025789363630027186,128242,13939,38,185
Q92.000,0.007161016073077918,0.9115614729923317,0.014520053371006985,0.8295964125560538,0.028540573896945386,,129625,12556,38,185,0.9115614729923317,0.014520053371006985,0.8295964125560538,0.028540573896945386,129625,12556,38,185
Q93.000,0.0073395549785345805,0.9208940760091009,0.0158716239915819,0.8116591928251121,0.03113442848542186,,130958,11223,42,181,0.9208940760091009,0.0158716239915819,0.8116591928251121,0.03113442848542186,130958,11223,42,181
Q94.000,0.007535477932542564,0.9302477458498357,0.017683290284124777,0.7982062780269058,0.03460005831470503,,132293,9888,45,178,0.9302477458498357,0.017683290284124777,0.7982062780269058,0.03460005831470503,132293,9888,45,178
Q95.000,0.007774206344038262,0.940163197662987,0.020346820809248555,0.7892376681614349,0.03967091175476164,,133707,8474,47,176,0.940163197662987,0.020346820809248555,0.7892376681614349,0.03967091175476164,133707,8474,47,176
Q96.000,0.00805263653397561,0.9502542063425184,0.02387231089521166,0.7713004484304933,0.046311254711900916,,135148,7033,51,172,0.9502542063425184,0.02387231089521166,0.7713004484304933,0.046311254711900916,135148,7033,51,172
Q97.000,0.008400525059551,0.9602469031768771,0.028932778932778933,0.7488789237668162,0.05571309424520434,,136576,5605,56,167,0.9602469031768771,0.028932778932778933,0.7488789237668162,0.05571309424520434,136576,5605,56,167
Q98.000,0.008958125561475766,0.9718617454565883,0.0380859375,0.6995515695067265,0.07223894420004631,,138241,3940,67,156,0.9718617454565883,0.0380859375,0.6995515695067265,0.07223894420004631,138241,3940,67,156
Q99.000,0.0100555444136262,0.985906294767001,0.07115384615384615,0.6636771300448431,0.12852800694745983,,140249,1932,75,148,0.9859133170416561,0.07160019221528112,0.6681614349775785,0.1293402777777778,140249,1932,74,149
Q100.000,0.15897421538829803,0.9984270104772338,0.0,0.0,0.0,,142180,1,223,0,0.9984270104772338,0.0,0.0,0.0,142180,1,223,0
Q_off_f1_best,0.017493106424808502,0.9976334934411955,0.291970802919708,0.35874439461883406,0.3219315895372233,0.9307520228668296,141987,194,143,80,0.9976334934411955,0.291970802919708,0.35874439461883406,0.3219315895372233,141987,194,143,80
