,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.007957497239112855,0.2759103641456583,0.00674373795761079,0.7,0.0133587786259542,774,2062,6,14,0.27801120448179273,0.009606147934678195,1.0,0.019029495718363463,774,2062,0,20
Q91.000,0.008416552627459169,0.29551820728291317,0.006930693069306931,0.7,0.013725490196078431,830,2006,6,14,0.2976190476190476,0.009871668311944718,1.0,0.019550342130987292,830,2006,0,20
Q92.000,0.014172921963036059,0.45203081232493,0.008274984086569064,0.65,0.016341923318667503,1278,1558,7,13,0.45448179271708683,0.012674271229404309,1.0,0.025031289111389236,1278,1558,0,20
Q93.000,0.018352118954062465,0.45903361344537813,0.008381689232753063,0.65,0.01654996817313813,1298,1538,7,13,0.46148459383753504,0.012836970474967908,1.0,0.025348542458808618,1298,1538,0,20
Q94.000,0.018640576601028445,0.4632352941176471,0.008447043534762833,0.65,0.01667735728030789,1310,1526,7,13,0.46568627450980393,0.0129366106080207,1.0,0.02554278416347382,1310,1526,0,20
Q95.000,0.018989112693816427,0.46743697478991597,0.008513425016371971,0.65,0.01680672268907563,1322,1514,7,13,0.4698879551820728,0.01303780964797914,1.0,0.025740025740025742,1322,1514,0,20
Q96.000,0.019589011296629908,0.47058823529411764,0.008563899868247694,0.65,0.016905071521456438,1331,1505,7,13,0.4730392156862745,0.013114754098360656,1.0,0.02588996763754045,1331,1505,0,20
Q97.000,0.020274861976504327,0.4723389355742297,0.008592200925313946,0.65,0.016960208741030658,1336,1500,7,13,0.47478991596638653,0.013157894736842105,1.0,0.025974025974025976,1336,1500,0,20
Q98.000,0.021357184238731872,0.47619047619047616,0.008655126498002663,0.65,0.01708278580814717,1347,1489,7,13,0.4786414565826331,0.013253810470510271,1.0,0.026160889470241987,1347,1489,0,20
Q99.000,0.022224403470754626,0.47829131652661067,0.008689839572192513,0.65,0.017150395778364115,1353,1483,7,13,0.4807422969187675,0.01330671989354624,1.0,0.026263952724885097,1353,1483,0,20
Q100.000,0.026398280635476112,0.4842436974789916,0.00878972278566599,0.65,0.01734489659773182,1370,1466,7,13,0.48669467787114845,0.013458950201884253,1.0,0.02656042496679947,1370,1466,0,20
Qbest,0.9379885196685791,0.8581932773109243,0.029339853300733496,0.6,0.055944055944055944,2439,397,8,12,0.8609943977591037,0.047961630695443645,1.0,0.09153318077803205,2439,397,0,20
