,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.003752641170285644,0.21673669467787116,0.006675567423230975,0.75,0.013233348037053375,,604,2232,5,15,0.2184873949579832,0.008880994671403197,1.0,0.0176056338028169,604,2232,0,20
Q91.000,0.004098487086594105,0.22969187675070027,0.006787330316742082,0.75,0.013452914798206279,,641,2195,5,15,0.23144257703081234,0.009029345372460496,1.0,0.017897091722595074,641,2195,0,20
Q92.000,0.018195512741804122,0.4572829131652661,0.009615384615384616,0.75,0.0189873417721519,,1291,1545,5,15,0.45903361344537813,0.012779552715654952,1.0,0.025236593059936908,1291,1545,0,20
Q93.000,0.01821305587887764,0.45973389355742295,0.009658725048293626,0.75,0.019071837253655438,,1298,1538,5,15,0.46148459383753504,0.012836970474967908,1.0,0.025348542458808618,1298,1538,0,20
Q94.000,0.018242065124213697,0.4646358543417367,0.009746588693957114,0.75,0.019243104554201407,,1312,1524,5,15,0.46638655462184875,0.012953367875647668,1.0,0.025575447570332477,1312,1524,0,20
Q95.000,0.01832616040483117,0.4684873949579832,0.00981675392670157,0.75,0.01937984496124031,,1323,1513,5,15,0.47023809523809523,0.01304631441617743,1.0,0.025756600128783,1323,1513,0,20
Q96.000,0.018438657894730568,0.47198879551820727,0.009881422924901186,0.75,0.01950585175552666,,1333,1503,5,15,0.4737394957983193,0.013131976362442548,1.0,0.025923525599481533,1333,1503,0,20
Q97.000,0.018588440157473088,0.4740896358543417,0.00992063492063492,0.75,0.0195822454308094,,1339,1497,5,15,0.47584033613445376,0.013183915622940013,1.0,0.026024723487312947,1339,1497,0,20
Q98.000,0.01911646563559772,0.4803921568627451,0.010040160642570281,0.75,0.019815059445178335,,1357,1479,5,15,0.48214285714285715,0.0133422281521014,1.0,0.026333113890717578,1357,1479,0,20
Q99.000,0.019774041883647443,0.48144257703081234,0.01006036217303823,0.75,0.01985440105890139,,1360,1476,5,15,0.4831932773109244,0.013368983957219251,1.0,0.02638522427440633,1360,1476,0,20
Q100.000,0.02271360158920288,0.48284313725490197,0.010087424344317418,0.75,0.019907100199071,,1364,1472,5,15,0.484593837535014,0.013404825737265416,1.0,0.026455026455026457,1364,1472,0,20
Q_off_f1_best,0.9633236527442932,0.8658963585434174,0.033419023136246784,0.65,0.06356968215158923,0.6756346967559945,2460,376,7,13,0.8683473389355743,0.050505050505050504,1.0,0.09615384615384615,2460,376,0,20
