,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.13538704812526703,0.622602201705354,0.3343157258369228,0.36290554120011487,0.34802446555352334,45842,17618,15533,8848,0.7790667228287474,0.5618502859985078,0.9266231901890817,0.6995401836169126,45842,17618,1789,22592
Q91.000,0.13665224611759186,0.6273494154210448,0.33806366561978984,0.3576145359091096,0.3475643785378299,46388,17072,15662,8719,0.785282499060803,0.5695845098830173,0.9266231901890817,0.7055039425404014,46388,17072,1789,22592
Q92.000,0.1379709482192993,0.6326886078255028,0.34276027124052655,0.3524465772527788,0.34753594467250404,46983,16477,15788,8593,0.7920561013649663,0.5782589777061097,0.9266231901890817,0.7121197793538219,46983,16477,1789,22592
Q93.000,0.13941922783851624,0.6380050318188545,0.3477189668623989,0.3473196341413396,0.3475191857840522,47575,15885,15913,8468,0.7901777074486857,0.5788706256627784,0.8955744227062057,0.7032092880951997,47575,15885,2546,21835
Q94.000,0.14096037149429325,0.6433214558122061,0.3529909467806075,0.34223370657479185,0.34752910306337076,48166,15294,16037,8344,0.796905772930636,0.588084785477659,0.8955744227062057,0.7099658592098845,48166,15294,2546,21835
Q95.000,0.14268383383750918,0.6486720324222174,0.3584039856655887,0.33636848365530536,0.3470367941095571,48779,14681,16180,8201,0.8038842909347571,0.5979570599189397,0.8955744227062057,0.7171125014368525,48779,14681,2546,21835
Q96.000,0.1447603464126587,0.6540795300599948,0.36397408598740544,0.3295188876584225,0.3458905584018599,49421,14039,16347,8034,0.8111929508999215,0.608658081061493,0.8955744227062057,0.7247531325201229,49421,14039,2546,21835
Q97.000,0.14730388522148133,0.6615589531084574,0.3735218995364677,0.32389975800828513,0.3469455000768842,50215,13245,16484,7897,0.8197197208592798,0.6219494790923362,0.8937287231860875,0.7334724653292043,50215,13245,2591,21790
Q98.000,0.15053881108760833,0.6690497603624731,0.38346088857966404,0.31647594438292115,0.3467631395636249,51054,12406,16665,7716,0.8283603328741703,0.6363583069527494,0.8904474795947664,0.7422602868523172,51054,12406,2671,21710
Q99.000,0.15525386929512025,0.6781229721883858,0.39709225482421356,0.30806775768016076,0.346960458240946,52056,11404,16870,7511,0.8347696406006306,0.6509869931140015,0.8724416553873918,0.7456183398766125,52056,11404,3110,21271
Q100.000,0.3796859681606293,0.7225441422570326,1.0,0.00036913990402362494,0.0007380073800738007,63460,0,24372,9,0.7781332179733838,1.0,0.20064804560928592,0.3342329108735012,63460,0,19489,4892
Qbest,0.0051443991251289845,0.2775469313873931,0.27755009107468126,0.9999589844551084,0.43449978168079056,0,63460,1,24380,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0,63460,0,24381
