,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.2982669174671173,0.6505162737218383,0.2910161418364647,0.18042738197776959,0.22275109501987495,,52743,10717,19982,4399,0.8577088147903599,0.6783227278184656,0.9269102990033222,0.7833682860460682,52743,10717,1782,22599
Q91.000,0.3005621016025543,0.6565612868705958,0.29392493412150134,0.1692711537672778,0.21482483993545368,,53546,9914,20254,4127,0.8628544757004133,0.6917480256202972,0.9125138427464009,0.7869409122260933,53546,9914,2133,22248
Q92.000,0.30277140736579894,0.6616158741362234,0.2960531338270097,0.15905828308929085,0.20693703308431166,,54239,9221,20503,3878,0.8707437301487916,0.7069814738313897,0.9125138427464009,0.7967054610564012,54239,9221,2133,22248
Q93.000,0.30519434809684753,0.6671485980350861,0.29934726927208133,0.1485993191419548,0.19860760881482292,,54980,8480,20758,3623,0.8787240582415956,0.7236704900938478,0.9108732209507403,0.8065517804935626,54980,8480,2173,22208
Q94.000,0.3080056965351105,0.6724991746450973,0.30010024605850727,0.1350641893277552,0.18628726593879052,,55780,7680,21088,3293,0.8877061964230826,0.7429460789235867,0.9104220499569337,0.8182019241402189,55780,7680,2184,22197
Q95.000,0.3109473884105683,0.6775309934996187,0.30229527914202664,0.12370288339280587,0.17556318761278303,,56499,6961,21365,3016,0.8958914402158445,0.7612662048151451,0.9104220499569337,0.8291899363081119,56499,6961,2184,22197
Q96.000,0.3143624186515808,0.6835532382372697,0.3076576576576577,0.11205446864361593,0.1642764799615165,,57312,6148,21649,2732,0.9042360628863515,0.7824871749513532,0.9071408063656126,0.84021578087604,57312,6148,2264,22117
Q97.000,0.3185439169406891,0.6895868671804738,0.3108781127129751,0.09728887248267093,0.14819905657430257,,58202,5258,22009,2372,0.9109641283683019,0.8058058797459005,0.8948771584430499,0.8480090172376936,58202,5258,2563,21818
Q98.000,0.32388578653335576,0.6962693958402113,0.3164617595401565,0.08129280997498052,0.12935648087717008,,59179,4281,22399,1982,0.9220864971937933,0.835970726847772,0.8948771584430499,0.8644215530903329,59179,4281,2563,21818
Q99.000,0.3316239833831787,0.7039195819719721,0.32380333549924195,0.061318239612813255,0.10311055934892062,,60338,3122,22886,1495,0.93528079142997,0.8748195669607057,0.8948771584430499,0.8847346971878105,60338,3122,2563,21818
Q100.000,0.5975208878517151,0.7225099896403729,1.0,0.0002460932693490833,0.0004920654447041457,,63460,0,24375,6,0.7781332179733838,1.0,0.20064804560928592,0.3342329108735012,63460,0,19489,4892
Q_off_f1_best,0.08151428401470184,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0.4904907220394361,0,63460,0,24381,0.27755831559294636,0.27755831559294636,1.0,0.43451373171035984,0,63460,0,24381
