,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q91.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q92.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q93.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q94.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q95.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q96.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q97.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q98.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q99.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q100.000,5.582481207966339e-06,0.513375962416808,0.03685439916947833,0.8875,0.07076999750809869,,3792,3711,18,142,0.5157249119143938,0.04133298889175924,1.0,0.07938476804763087,3792,3711,0,160
Q_off_f1_best,0.009978082031011581,0.6373482970116142,0.04766839378238342,0.8625,0.09034369885433714,0.6499321104891376,4746,2757,22,138,0.6402192352864413,0.054850874185807336,1.0,0.10399740006499837,4746,2757,0,160
