,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0410880371928215,0.8720130551346311,0.018907563025210083,0.0989010989010989,0.031746031746031744,,7463,934,164,18,0.8911295022729921,0.16308243727598568,1.0,0.2804314329738059,7463,934,0,182
Q91.000,0.0410880371928215,0.8720130551346311,0.018907563025210083,0.0989010989010989,0.031746031746031744,,7463,934,164,18,0.8911295022729921,0.16308243727598568,1.0,0.2804314329738059,7463,934,0,182
Q92.000,0.0410880371928215,0.8720130551346311,0.018907563025210083,0.0989010989010989,0.031746031746031744,,7463,934,164,18,0.8911295022729921,0.16308243727598568,1.0,0.2804314329738059,7463,934,0,182
Q93.000,0.04185529053211212,0.8720130551346311,0.018907563025210083,0.0989010989010989,0.031746031746031744,,7463,934,164,18,0.8911295022729921,0.16308243727598568,1.0,0.2804314329738059,7463,934,0,182
Q94.000,0.045088037848472595,0.9300617787620935,0.018433179723502304,0.04395604395604396,0.025974025974025976,,7971,426,174,8,0.9503438629210864,0.2993421052631579,1.0,0.4607594936708861,7971,426,0,182
Q95.000,0.045088037848472595,0.9300617787620935,0.018433179723502304,0.04395604395604396,0.025974025974025976,,7971,426,174,8,0.9503438629210864,0.2993421052631579,1.0,0.4607594936708861,7971,426,0,182
Q96.000,0.04586506634950638,0.9300617787620935,0.018433179723502304,0.04395604395604396,0.025974025974025976,,7971,426,174,8,0.9503438629210864,0.2993421052631579,1.0,0.4607594936708861,7971,426,0,182
Q97.000,0.04986506700515747,0.9633989975521623,0.014705882352941176,0.01098901098901099,0.01257861635220126,,8263,134,180,2,0.9843804639235342,0.5759493670886076,1.0,0.7309236947791165,8263,134,0,182
Q98.000,0.09006518125534076,0.9737731670357851,0.0425531914893617,0.01098901098901099,0.017467248908296942,,8352,45,180,2,0.994754633407157,0.801762114537445,1.0,0.8899755501222494,8352,45,0,182
Q99.000,0.12108803540468216,0.9759878773749854,0.07142857142857142,0.01098901098901099,0.01904761904761905,,8371,26,180,2,0.9969693437463574,0.875,1.0,0.9333333333333333,8371,26,0,182
Q100.000,0.20986506342887878,0.979018533628628,1.0,0.01098901098901099,0.02173913043478261,,8397,0,180,2,1.0,1.0,1.0,1.0,8397,0,0,182
Q_off_f1_best,0.020368067547678947,0.44107704860706376,0.023154848046309694,0.6153846153846154,0.04463040446304044,0.5202692091759616,3672,4725,70,112,0.4492365077514862,0.037089871611982884,1.0,0.07152682255845942,3672,4725,0,182
