,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.07270895391702652,0.9171942263864269,0.24385510996119017,0.32222222222222224,0.2776141384388807,,21355,1169,793,377,0.950662615008019,0.500213766566909,1.0,0.6668566543174693,21355,1169,0,1170
Q91.000,0.07535058230161668,0.9245800624630708,0.26752072343632255,0.3034188034188034,0.2843412094513416,,21552,972,815,355,0.9589769561914409,0.5462184873949579,1.0,0.7065217391304348,21552,972,0,1170
Q92.000,0.07813780158758163,0.9294336118848654,0.2828719723183391,0.2794871794871795,0.2811693895098882,,21695,829,843,327,0.9650122393854984,0.5852926463231616,1.0,0.7384032817923635,21695,829,0,1170
Q93.000,0.08115905433893204,0.9340761374187558,0.304,0.25982905982905985,0.28018433179723506,,21828,696,866,304,0.9706254748037478,0.6270096463022508,1.0,0.7707509881422925,21828,696,0,1170
Q94.000,0.08504095196723938,0.9384232295095805,0.32735961768219835,0.2341880341880342,0.27304434479322376,,21961,563,896,274,0.9759010720013506,0.673623188405797,0.9931623931623932,0.8027633851468048,21961,563,8,1162
Q95.000,0.08982799202203755,0.9426859120452435,0.3613569321533923,0.2094017094017094,0.26515151515151514,,22091,433,925,245,0.979108635097493,0.719013627514601,0.947008547008547,0.8174105496126891,22091,433,62,1108
Q96.000,0.09578284293413165,0.9468641850257449,0.412573673870334,0.1794871794871795,0.25014889815366287,,22225,299,960,210,0.9847640752933232,0.7874911158493249,0.947008547008547,0.8599146294140474,22225,299,62,1108
Q97.000,0.10338880926370622,0.9499029290115641,0.47696476964769646,0.15042735042735042,0.22871994801819362,,22331,193,994,176,0.9883092766101123,0.8491008600469117,0.9282051282051282,0.8868926092282565,22331,193,84,1086
Q98.000,0.1132342672348023,0.9510424580062463,0.5192307692307693,0.11538461538461539,0.1888111888111888,,22399,125,1035,135,0.9911792014856081,0.8967795210569777,0.9282051282051282,0.9122217555648886,22399,125,84,1086
Q99.000,0.1304305297136311,0.9523930108888327,0.6418918918918919,0.0811965811965812,0.1441578148710167,,22471,53,1075,95,0.9746349286739259,0.9214814814814815,0.5316239316239316,0.6742547425474255,22471,53,548,622
Q100.000,0.27565082907676697,0.9514645057820545,0.9166666666666666,0.018803418803418803,0.03685092127303183,,22522,2,1148,22,0.9713429560226218,0.9959595959595959,0.42136752136752137,0.5921921921921922,22522,2,677,493
Q_off_f1_best,0.07541701942682266,0.9249599054612982,0.26934749620637327,0.3034188034188034,0.2853697749196141,0.7436492053300789,21561,963,815,355,0.9593567991896683,0.5485232067510548,1.0,0.7084468664850135,21561,963,0,1170
