,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.026071206852793703,0.3822310238065074,0.15270513163377636,0.8996409204162392,0.2610924132944135,122867,272468,5478,49106,0.3898168336967321,0.16160338721241158,0.962168400996629,0.27672820104802526,122867,272468,2065,52519
Q91.000,0.027376126796007157,0.38709189876399974,0.1535880865939725,0.8982668913967463,0.26232341147233573,125129,270206,5553,49031,0.39484440532629206,0.16273607560616624,0.962168400996629,0.2783872104826548,125129,270206,2065,52519
Q92.000,0.029032869786024096,0.3939686921423634,0.15498644188997207,0.8973875128242709,0.26432219647034383,128271,267064,5601,48983,0.401827884574779,0.16433602538307732,0.962168400996629,0.28072491694884905,128271,267064,2065,52519
Q93.000,0.030991219878196717,0.39985197335520395,0.15605841933176662,0.8954089110362011,0.26579256487785774,131026,264309,5709,48875,0.40795120899539694,0.16576502076836644,0.962168400996629,0.28280723293808496,131026,264309,2065,52519
Q94.000,0.03353576347231865,0.40471284831269627,0.1570345495308585,0.8944012897552396,0.2671621004128919,133268,262067,5764,48820,0.4129343281790722,0.1669463993947601,0.962168400996629,0.28452474469756484,133268,262067,2065,52519
Q95.000,0.036342524364590775,0.4119719327256684,0.1586374173746517,0.893869998534369,0.2694541166984678,136563,258772,5793,48791,0.42025786863857717,0.16871351886177244,0.962168400996629,0.2870871199180048,136563,258772,2065,52519
Q96.000,0.03922209843993187,0.4208535314134322,0.16047062857067507,0.8917814744247399,0.27199704964475596,140673,254662,5907,48677,0.42939284626788377,0.1709708608279809,0.962168400996629,0.2903487070335715,140673,254662,2065,52519
Q97.000,0.04307882726192475,0.4322044634700913,0.16284776303775714,0.8887769309687821,0.27526043439776676,145944,249391,6071,48513,0.44025702404210537,0.17290657221409692,0.955151692803752,0.2928075796591512,145944,249391,2448,52136
Q98.000,0.04890753805637364,0.44672707754062396,0.16602280772905684,0.8849662904880551,0.27959298253737647,152686,242649,6279,48305,0.455241943549839,0.17686110215920078,0.955151692803752,0.2984580772764613,152686,242649,2448,52136
Q99.000,0.06240402303636078,0.4688377241236756,0.17065791259742952,0.875256485416972,0.28562460765850595,163164,232171,6809,47775,0.4732807460898517,0.17653797726506942,0.9118789388831892,0.2958080878616702,163164,232171,4810,49774
Q100.000,0.3310031592845917,0.8791337996394907,0.6588785046728972,0.0077495236699399095,0.015318871546010937,395116,219,54161,423,0.9619153669882801,0.9942196531791907,0.6900923347501099,0.8146986622833103,395116,219,16916,37668
Qbest,0.2523651719093323,0.8996686070159295,0.6041515011139788,0.5017587571449509,0.5482150184653262,377390,17945,27196,27388,0.9353994830180543,0.7077789900503183,0.7962772973765206,0.749424534239135,377390,17945,11120,43464
