,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.15798448771238333,0.4658505197602235,0.16813416141965823,0.861992525282134,0.281383624478958,,162544,232791,7533,47051,0.4734696689848617,0.17820100963744837,0.9247948116664224,0.298821384384971,162544,232791,4105,50479
Q91.000,0.15936635702848434,0.46803980272004514,0.16833794685652123,0.8589879818261762,0.2815080768387904,,163693,231642,7697,46887,0.4760234620009379,0.17892677255503844,0.9247948116664224,0.29984110720066526,163693,231642,4105,50479
Q92.000,0.16087488532066346,0.47095588317008175,0.16880729969704958,0.8564780888172359,0.28202831141958273,,165142,230193,7834,46750,0.47924404170528473,0.17985050165317523,0.9247948116664224,0.30113704154437204,165142,230193,4105,50479
Q93.000,0.16235187754034996,0.4748832567639953,0.16955743584893307,0.8539315550344423,0.28293503135224385,,167048,228287,7973,46611,0.483480359798097,0.18108018911918958,0.9247948116664224,0.30285885705714716,167048,228287,4105,50479
Q94.000,0.16452481448650363,0.4823690486509794,0.17109369812072514,0.8496445844936245,0.2848307671520608,,170650,224685,8207,46377,0.49148624530193213,0.18345059673503802,0.9247948116664224,0.30616713368996934,170650,224685,4105,50479
Q95.000,0.16799415871500972,0.4893614183886433,0.17252583718460687,0.8453209731789535,0.28656514340367917,,174032,221303,8443,46141,0.4990031539010355,0.18573341869586654,0.9247948116664224,0.30933982093723,174032,221303,4105,50479
Q96.000,0.17217587590217592,0.49438676739590903,0.17367934321034256,0.8429576432654258,0.28801692597078643,,176422,218913,8572,46012,0.5043152211842576,0.18738121399299162,0.9247948116664224,0.31162184853199004,176422,218913,4105,50479
Q97.000,0.18041361823678026,0.508789359862553,0.17676079043767748,0.8336325663198006,0.29167561400078845,,183411,211924,9081,45503,0.5192734692244604,0.1915740966796875,0.9200498314524402,0.31711752671061605,183411,211924,4364,50220
Q98.000,0.18817798793315887,0.5252789946634838,0.18096743902341147,0.8261761688406859,0.29690102640744226,,191237,204098,9488,45096,0.5357097610903296,0.19610692946074434,0.9121537446870878,0.32281154468329276,191237,204098,4795,49789
Q99.000,0.20622525289654797,0.5379568322298014,0.17860706947880414,0.7803752015242562,0.2906842640425285,,199441,195894,11988,42596,0.553092890053543,0.2014105177333877,0.9051370364942107,0.32950074028624404,199441,195894,5178,49406
Q100.000,0.48765429854393005,0.9496087073451,0.9984692283661356,0.5855378865601641,0.7381804743977644,,395286,49,22623,31961,0.9589881734267723,0.9986475296715429,0.6628499193902975,0.7968154689805536,395286,49,18403,36181
Q_off_f1_best,0.44636431336402893,0.949373109381911,0.9869855463008329,0.5904843910303386,0.7389041723979826,0.8113780962950734,394910,425,22353,32231,0.9588125862655278,0.9884833211392028,0.6682910743074894,0.7974466317618897,394910,425,18106,36478
