,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.1338678002357483,0.41328564897600156,0.0660127429662055,0.6968026460859978,0.1206002255182583,64465,98361,3025,6952,0.42690809766034155,0.08643316893755747,0.9327453142227122,0.15820611335894733,64465,98361,671,9306
Q91.000,0.13730001449584964,0.4156293582866038,0.06592001831641608,0.6925929638167786,0.1203822266356565,64912,97914,3067,6910,0.4294948583068581,0.08679350867375489,0.9327453142227122,0.15880952584110514,64912,97914,671,9306
Q92.000,0.1409629166126251,0.417718442388153,0.06528224065992039,0.68216898867395,0.11916100567266616,65377,97449,3171,6806,0.43218578381162365,0.08717156105100464,0.9327453142227122,0.159442140972484,65377,97449,671,9306
Q93.000,0.144709949195385,0.41970336163145316,0.0635235204269059,0.6586148140723664,0.11587123850501238,65955,96871,3406,6571,0.4355306331487301,0.08764610037955489,0.9327453142227122,0.16023554935688825,65955,96871,671,9306
Q94.000,0.148395648598671,0.42168249393818397,0.06260575296108291,0.6452841535531723,0.11413780571043604,66430,96396,3539,6438,0.43827942801918945,0.08803996140091956,0.9327453142227122,0.16089350703239136,66430,96396,671,9306
Q95.000,0.15260709077119827,0.425305116230621,0.06268113104096498,0.6416758544652701,0.11420620267051991,67092,95734,3575,6402,0.4421103800281245,0.0885948210205636,0.9327453142227122,0.16181955710894913,67092,95734,671,9306
Q96.000,0.15707350075244905,0.4285052921534927,0.06245379542833486,0.6350606394707828,0.11372366012133396,67711,95115,3641,6336,0.44569249376457587,0.0891200045967765,0.9327453142227122,0.16269515201314708,67711,95115,671,9306
Q97.000,0.1615322306752205,0.4330133157410462,0.061691869384177075,0.6207276736493936,0.11222964218080336,68633,94193,3784,6193,0.4389217779783916,0.07113907323951996,0.723063045003508,0.1295338648279825,68633,94193,2763,7214
Q98.000,0.16666871309280412,0.4378569816496241,0.060533029474936724,0.6016838729076877,0.1099994502776098,69660,93166,3974,6003,0.44486496183515334,0.07186690575811915,0.723063045003508,0.13073932781790007,69660,93166,2763,7214
Q99.000,0.17394989579916006,0.4408719756022754,0.058930135005803415,0.5801343089104941,0.1069920051758399,70396,92430,4189,5788,0.4491241471502231,0.07239773593994621,0.723063045003508,0.13161711715820873,70396,92430,2763,7214
Q100.000,0.20361730456352234,0.44264277819250825,0.05015526979429358,0.4824095419464769,0.09086361019077017,71677,91149,5164,4813,0.45653721289560945,0.07334058538271504,0.723063045003508,0.1331733431788813,71677,91149,2763,7214
Qbest,585.83447265625,0.9508689085258937,0.9966599866399466,0.14954395108750126,0.26006623670908147,162821,5,8485,1492,0.9515922755970672,0.9969173859432799,0.16207276736493936,0.2788171394085698,162821,5,8360,1617
