,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.12749037146568298,0.4029212455802272,0.06949114962492148,0.7539340483111155,0.1272531952867934,,62104,100722,2455,7522,0.4171281748580754,0.0901272820892691,1.0,0.1653518512380258,62104,100722,0,9977
Q91.000,0.1287980392575264,0.4056295318947009,0.06946533697327613,0.7498245965721159,0.12715112474611415,,62613,100213,2496,7481,0.420073725571894,0.09054360649786732,1.0,0.16605224396048832,62613,100213,0,9977
Q92.000,0.1302029550075531,0.4081584231755236,0.06946737943967085,0.7463165280144332,0.12710388856645385,,63085,99741,2531,7446,0.42280515963264526,0.09093311945168522,1.0,0.1667070470779899,63085,99741,0,9977
Q93.000,0.1318583682179451,0.4116479459268647,0.06946453054861672,0.7414052320336775,0.1270274679511948,,63737,99089,2580,7397,0.4265782422758864,0.09147672051785158,1.0,0.16762010366002203,63737,99089,0,9977
Q94.000,0.13368443250656128,0.4155946366671875,0.06952170129034699,0.7365941665831413,0.12705190819898862,,64467,98359,2628,7349,0.43080270597153986,0.0920931177078718,1.0,0.16865433215284878,64467,98359,0,9977
Q95.000,0.13580884039402008,0.4197843787434246,0.06950086780721329,0.7304801042397514,0.12692552181750102,,65252,97574,2689,7288,0.4314624167404501,0.08706961077844311,0.9327453142227122,0.15927158835157498,65252,97574,671,9306
Q96.000,0.13821623623371126,0.4241014334241882,0.0693950177935943,0.7231632755337276,0.12663782284746417,,66071,96755,2762,7215,0.4362019177907791,0.08774195981557782,0.9327453142227122,0.160395732432479,66071,96755,671,9306
Q97.000,0.14110224545001984,0.4285342268363396,0.06925062593404888,0.7152450636463867,0.12627518292736878,,66916,95910,2841,7136,0.4410918791919122,0.08844662408759124,0.9327453142227122,0.16157231776236405,66916,95910,671,9306
Q98.000,0.14522665441036225,0.4343616719617136,0.06887777657703681,0.7027162473689486,0.12545854732208364,,68048,94778,2966,7011,0.4389564995978079,0.07608473138824172,0.7822992883632355,0.13868159203980102,68048,94778,2172,7805
Q99.000,0.15185243636369733,0.4419599196773204,0.06755702280912365,0.6768567705723163,0.12285217897523126,,69619,93207,3224,6753,0.4480477769483169,0.07726804736070962,0.7822992883632355,0.14064456838065034,69619,93207,2172,7805
Q100.000,0.22509098052978516,0.44459297581639207,0.049087153029016055,0.4691791119575023,0.08887580929958801,,72146,90680,5296,4681,0.45925128614665256,0.07369195252007273,0.723063045003508,0.13375235234678456,72146,90680,2763,7214
Q_off_f1_best,585.8453369140625,0.9508746954624631,0.9966622162883845,0.14964418161772075,0.26021786492374727,0.5428692646200629,162821,5,8484,1493,0.9515922755970672,0.9969173859432799,0.16207276736493936,0.2788171394085698,162821,5,8360,1617
