,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.15063930600881584,0.10567514677103718,0.032873806998939555,0.9393939393939394,0.06352459016393443,77,912,2,31,0.10763209393346379,0.03492063492063492,1.0,0.06748466257668712,77,912,0,33
Q91.000,0.1545644137263298,0.1086105675146771,0.03297872340425532,0.9393939393939394,0.06372045220966084,80,909,2,31,0.11056751467710371,0.03503184713375796,1.0,0.06769230769230769,80,909,0,33
Q92.000,0.16966187298297913,0.11350293542074363,0.031149301825993556,0.8787878787878788,0.06016597510373445,87,902,4,29,0.11741682974559686,0.03529411764705882,1.0,0.06818181818181818,87,902,0,33
Q93.000,0.18675030648708343,0.1232876712328767,0.029443838604143947,0.8181818181818182,0.056842105263157895,99,890,6,27,0.12915851272015655,0.035752979414951244,1.0,0.06903765690376569,99,890,0,33
Q94.000,0.1912587532401085,0.1232876712328767,0.029443838604143947,0.8181818181818182,0.056842105263157895,99,890,6,27,0.12915851272015655,0.035752979414951244,1.0,0.06903765690376569,99,890,0,33
Q95.000,0.19650084972381593,0.13013698630136986,0.02967032967032967,0.8181818181818182,0.05726405090137857,106,883,6,27,0.1360078277886497,0.036026200873362446,1.0,0.06954689146469968,106,883,0,33
Q96.000,0.2144511675834657,0.1379647749510763,0.02993348115299335,0.8181818181818182,0.05775401069518717,114,875,6,27,0.14383561643835616,0.03634361233480176,1.0,0.07013815090329437,114,875,0,33
Q97.000,0.22188836485147517,0.14481409001956946,0.030167597765363128,0.8181818181818182,0.05818965517241379,121,868,6,27,0.1506849315068493,0.03662597114317425,1.0,0.07066381156316917,121,868,0,33
Q98.000,0.2584999412298203,0.15557729941291584,0.030542986425339366,0.8181818181818182,0.05888767720828789,132,857,6,27,0.16144814090019569,0.03707865168539326,1.0,0.07150595882990249,132,857,0,33
Q99.000,0.2818907079100611,0.15949119373776907,0.02745995423340961,0.7272727272727273,0.05292171995589856,139,850,9,24,0.16144814090019569,0.02968036529680365,0.7878787878787878,0.05720572057205721,139,850,7,26
Q100.000,0.34048017859458923,0.15949119373776907,0.024193548387096774,0.6363636363636364,0.04661487236403995,142,847,12,21,0.1643835616438356,0.029782359679266894,0.7878787878787878,0.05739514348785872,142,847,7,26
Qbest,0.7310717105865479,0.9442270058708415,0.038461538461538464,0.030303030303030304,0.03389830508474576,964,25,32,1,0.9452054794520548,0.07407407407407407,0.06060606060606061,0.06666666666666667,964,25,31,2
