,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.12752306014299394,0.8938656280428432,0.018518518518518517,0.4,0.035398230088495575,,916,106,3,2,0.8948393378773125,0.027522935779816515,0.6,0.05263157894736843,916,106,2,3
Q91.000,0.13626653060317065,0.9065238558909445,0.021052631578947368,0.4,0.039999999999999994,,929,93,3,2,0.9074975657254138,0.03125,0.6,0.0594059405940594,929,93,2,3
Q92.000,0.15028577625751502,0.9240506329113924,0.025974025974025976,0.4,0.04878048780487805,,947,75,3,2,0.9250243427458618,0.038461538461538464,0.6,0.07228915662650603,947,75,2,3
Q93.000,0.15467139974236485,0.9279454722492697,0.0273972602739726,0.4,0.05128205128205128,,951,71,3,2,0.928919182083739,0.04054054054054054,0.6,0.0759493670886076,951,71,2,3
Q94.000,0.16410163551568985,0.937682570593963,0.031746031746031744,0.4,0.058823529411764705,,961,61,3,2,0.9386562804284323,0.046875,0.6,0.08695652173913043,961,61,2,3
Q95.000,0.173728369921446,0.9464459591041869,0.037037037037037035,0.4,0.06779661016949153,,970,52,3,2,0.9474196689386563,0.05454545454545454,0.6,0.09999999999999999,970,52,2,3
Q96.000,0.19109904468059566,0.9571567672833495,0.046511627906976744,0.4,0.08333333333333333,,981,41,3,2,0.9581304771178188,0.06818181818181818,0.6,0.1224489795918367,981,41,2,3
Q97.000,0.20516934707760845,0.9639727361246349,0.05555555555555555,0.4,0.09756097560975609,,988,34,3,2,0.9649464459591042,0.08108108108108109,0.6,0.14285714285714288,988,34,2,3
Q98.000,0.23107560515403874,0.9727361246348588,0.07407407407407407,0.4,0.125,,997,25,3,2,0.9737098344693281,0.10714285714285714,0.6,0.18181818181818182,997,25,2,3
Q99.000,0.29025838106870666,0.9883154819863681,0.18181818181818182,0.4,0.25000000000000006,,1013,9,3,2,0.9892891918208374,0.25,0.6,0.35294117647058826,1013,9,2,3
Q100.000,0.4167543053627014,0.9961051606621227,1.0,0.2,0.33333333333333337,,1022,0,4,1,0.9961051606621227,1.0,0.2,0.33333333333333337,1022,0,4,1
Q_off_f1_best,0.4623299539089203,0.9961051606621227,1.0,0.2,0.33333333333333337,0.8747553816046967,1022,0,4,1,0.9961051606621227,1.0,0.2,0.33333333333333337,1022,0,4,1
